Title	Designation	Points	Price	Appellation	TasterName	TasterTwitterHandle	TasterTitle	Variety	Winery	DatePublished	Category	BottleSize	Alcohol	Description
Caraccioli 2016 Escolle Vineyard Pinot Noir (Santa Lucia Highlands)	Escolle Vineyard	96	$50	Santa Lucia Highlands, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Pinot Noir	Caraccioli	7/1/2019	Red	750 ml	13.5%	There's a tremendous herbal array on the nose of this superb wine, as bay leaf and peppercorn lead into more rugged aromas of singed fur, game and mulberry jam. That animalistic character extends to the palate, where it meets with snappy black raspberry, roasted cocoa and cappuccino flavors, all leveled by piney herbs.
Roar 2017 Sierra Mar Vineyard Pinot Noir (Santa Lucia Highlands)	Sierra Mar Vineyard	97	$58	Santa Lucia Highlands, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Pinot Noir	Roar	7/1/2019	Red	750 ml	14.8%	Rich and ripe in aromas of red cherry, caramel and oak, this bottling is made elegant and complex from the crushed slate and stony qualities that thrive throughout. A concentrated Bing cherry flavor rings on the bone-dry palate, lifted by mint and more chiseled stone. This is amazingly ripe and delicious, yet hewn with impressive minerality.
Berlucchi 2012 '61 Nature Rosé (Franciacorta)	'61 Nature Rosé	95	$68	Franciacorta, Lombardy, Italy	Kerin O’Keefe	@kerinokeefe	Italian Editor	Sparkling Blend, Sparkling	Berlucchi	7/1/2019	Sparkling	750 ml	12.5%	Made entirely with Pinot Nero, this elegant sparkler is both dazzling and savory. It opens with aromas of pomegranate, botanical herbs and bread crust that follow over to the dry, savory palate along with grapefruit and ginger notes. Bright acidity lends tension and freshness while a silky perlage imparts finesse.
Freeman 2016 Gloria Estate Pinot Noir (Green Valley)	Gloria Estate	96	$68	Green Valley, Sonoma, California, US	Jim Gordon	@gordone_cellars	Contributing Editor	Pinot Noir	Freeman	7/1/2019	Red	750 ml	13.7%	This gorgeous wine shows an expressive wild-cherry aroma, a vibrant and pure black-cherry flavor and a firm, fine-grained texture for an enticing mouthfeel. Touches of mineral and iron in the aroma, and hints of rhubarb and forest floor in the flavor give it exciting breadth and complexity. Best after 2023.
Taittinger 2007 Comtes de Champagne Blanc de Blancs Brut Chardonnay (Champagne)	Comtes de Champagne Blanc de Blancs Brut	97	$216	Champagne, Champagne, France	Roger Voss	@vossroger	European Editor, Reviews wines from Portugal and France	Chardonnay	Taittinger	7/1/2019	Sparkling	750 ml	12.5%	Always one of the great Champagnes, this comes from a year that is generally regarded as good but not great. And yet, with this Champagne is magnificent. The wine has some good bottle age, hinting at toast while also keeping the tight, mineral edge of a great wine from the Côte des Blancs. Drink from 2020.
Westwood 2016 Legend Red (Sonoma Valley)	Legend	96	$55	Sonoma Valley, Sonoma, California, US	Virginie Boone	@vboone	Contributing Editor	Red Blends	Westwood	7/1/2019	Red	750 ml	14.8%	This red is brightly layered in fresh blue fruit, meat and garrigue, showing plenty of density and complexity. It has a wild character that's intriguing and energetic, with lasting threads of white and black pepper on the finish.
The Paring 2015 Syrah (Santa Ynez Valley)	null	95	$25	Santa Ynez Valley, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Syrah	The Paring	7/1/2019	Red	750 ml	14.9%	This label, made by Jonata's Matt Dees, offers incredible value, and this Syrah is the epitome of this vintage's offerings. Roasted espresso bean, peppercorn, blackberry paste and crushed asphalt rule the nose, leading into a cohesive palate of rosemary-crusted lamb roast, coffee grinds, purple flowers and dark-black fruits.
Michel Rolland Napa Valley 2014 MR Red (Napa Valley)	MR	95	$175	Napa Valley, Napa, California, US	Virginie Boone	@vboone	Contributing Editor	Bordeaux-style Red Blend	Michel Rolland Napa Valley	7/1/2019	Red	750 ml	14.9%	Made in partnership with Alpha Omega Winery's Jean Hoefliger, this famous namesake wine embraces the fullness that is Napa Valley concentration and sunny richness, showing baked plum, cinnamon and generous tannin and oak. The backbone is plush and lush in texture, evolving as it opens in the glass. Enjoy this in good time; should show best 2024–2034.
Waits-Mast 2015 Wentzel Vineyard Pinot Noir (Anderson Valley)	Wentzel Vineyard	95	$47	Anderson Valley, Mendocino County, California, US	Jim Gordon	@gordone_cellars	Contributing Editor	Pinot Noir	Waits-Mast	7/1/2019	Red	750 ml	13.2%	This exciting wine blends aromas of black fruit, Asian spice and forest floor for a complex, layered and enticing whole. It is medium in body but filled to the brim with flavors of cherry, soy, black tea and clove. It shows a gripping, nervy texture on the palate, but softens enough on the finish for a lingering close.
Caliza 2016 Reserve Syrah (Paso Robles Willow Creek District)	Reserve	95	$85	Paso Robles Willow Creek District, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Syrah	Caliza	7/1/2019	Red	750 ml	15.5%	This is a rich, powerful, delicious and ultimately balanced reserve Syrah that spent 20 months in 75% new French oak. Aromas of purple flowers, roasted meat, charred pine, dark fruit and mocha lead into a hefty palate loaded with acid and ageworthy tannins. Creamy flavors of milk chocolate meet with tart elderberry. Drink now through 2031.
Roar 2017 Garys Vineyard Pinot Noir (Santa Lucia Highlands)	Garys Vineyard	95	$62	Santa Lucia Highlands, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Pinot Noir	Roar	7/1/2019	Red	750 ml	14.9%	Macerated strawberry and raspberry aromas meet with sumac and more red spice on those nose of this bottling from the iconic vineyard. There is compelling richness to the black cherry and Alpine strawberry of the palate, and then an underlying layer of dark star anise spice rises into the finish.
Delas Frères 2016 Domaine des Grandes Chemins (Crozes-Hermitage)	Domaine des Grandes Chemins	94	$42	Crozes-Hermitage, Rhône Valley, France	Anna Lee C. Iijima		Contributing Editor	Rhône-style Red Blend	Delas Frères	7/1/2019	Red	750 ml	13.5%	Succulent aromas of ripe black cherry and blueberry are juxtaposed by savory notes of granite, sage and thyme in this beautifully perfumed Syrah. It's intensely luscious in fruit character for Crozes-Hermitage but maintains layers of brambly, herbal edges and fine, firm tannins that the appellation is known for. Ready now it should improve through 2027.
Kelley Fox 2017 Freedom Hill Vineyard Pinot Blanc (Willamette Valley)	Freedom Hill Vineyard	94	$30	Willamette Valley, Willamette Valley, Oregon, US	Paul Gregutt	@paulgwine	Contributing Editor	Pinot Blanc	Kelley Fox	7/1/2019	White	750 ml	13%	This looks to be the first vintage for a Kelley Fox Pinot Blanc, and there are two, both extraordinary. Here, stunning concentration pushes lush fruit flavors of Meyer lemon, Satsuma orange, Italian peaches and a touch of apple cider down through the palate, landing on a soft blanket of citrus peel. The depth and power are breathtaking.
Pali 2016 Huber Vineyard Pinot Noir (Sta. Rita Hills)	Huber Vineyard	94	$60	Sta. Rita Hills, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Pinot Noir	Pali	7/1/2019	Red	750 ml	14.6%	From a vineyard originally planted in 1986, this bottling is deeply layered on the nose, showing aromas of red cherry, ripe cranberry, marjoram, cracked pepper and roasted boar. The full-throttle cherry-cranberry-wild strawberry fruit of the palate meets with tarragon and marjoram on the spicy vibrant palate.
Clos Saint Michel 2016 Red (Châteauneuf-du-Pape)	null	94	$47	Châteauneuf-du-Pape, Rhône Valley, France	Anna Lee C. Iijima		Contributing Editor	Rhône-style Red Blend	Clos Saint Michel	7/1/2019	Red	750 ml	14.5%	There's an elegant rusticity to this opulent but also earthen blend of Grenache, Syrah and Mourvèdre. Flavors of blackberry jam and strawberry leather are peppered by hints of leather, barnyard and dried herbs. It's creamy and mouthfilling yet freshly balanced. This complex, satisfying wine should drink well through 2030.
Ruinart 2007 Dom Ruinart Blanc de Blancs Brut Chardonnay (Champagne)	Dom Ruinart Blanc de Blancs Brut	95	$179	Champagne, Champagne, France	Roger Voss	@vossroger	European Editor, Reviews wines from Portugal and France	Chardonnay	Ruinart	7/1/2019	Sparkling	750 ml	12.5%	This is a beautiful wine with minerality, toast and tight acidity mingling with the citrus flavors that are still very present. The balance of the wine is impeccable, on the cusp between youth and maturity at the point when it has just become truly ready to drink.
Pali 2016 Pali Vineyard Estate Reserve Estate Grown Pinot Noir (Sta. Rita Hills)	Pali Vineyard Estate Reserve Estate Grown	95	$89	Sta. Rita Hills, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Pinot Noir	Pali	7/1/2019	Red	750 ml	15.2%	Aromas of candied black cherry, vanilla, crushed slate and red flowers make for a plump yet intensely focused nose. The palate's boysenberry and black cherry flavors are enhanced by accents of sarsaparilla, gamy funk and clove.
Patricia Green Cellars 2017 Mysterious Pinot Noir (Dundee Hills)	Mysterious	95	$100	Dundee Hills, Willamette Valley, Oregon, US	Paul Gregutt	@paulgwine	Contributing Editor	Pinot Noir	Patricia Green Cellars	7/1/2019	Red	750 ml	13.9%	The vineyard is a highly regarded Dundee Hills site that must remain undisclosed, hence the name. Rich, dark and muscular, it's a bold, tannic young wine loaded with black fruits. The limited time in barrel adds a touch of baking spices to this 100% Pommard, while a savory note infuses the grippy finish. Drink now into the early 2030s.
Refugio Ranch 2014 Time for Time Syrah (Santa Ynez Valley)	Time for Time	95	$95	Santa Ynez Valley, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Syrah	Refugio Ranch	7/1/2019	Red	750 ml	15.5%	The 40 months in barrel did this small-batch Syrah well, especially for those who enjoy a powerful lavish expression of the grape. Dense aromas of cassis, violet, teriyaki-charred meat and blackberry crème brûlée lead into a lush palate of blackberry sauce, caramel and vanilla, finishing on mocha and cappuccino flavors.
Ebner-Ebenauer 2017 Bürsting Grüner Veltliner (Niederösterreich)	Bürsting	94	N/A	Niederösterreich, Austria	Anne Krebiehl MW	@AnneInVino	Contributing Editor	Grüner Veltliner	Ebner-Ebenauer	7/1/2019	White	750 ml	13%	The nose is subtle and still a little closed but air slowly reveals a yeasty savoriness. The palate then majors on a white pepper note that tingles around the edges, with a concentrated core of juicy pear and bright lemon. Lovely now but certain to develop, this will easily keep and evolve through 2030.
Far Niente 2016 Estate Bottled Cabernet Sauvignon (Oakville)	Estate Bottled	95	$185	Oakville, Napa, California, US	Virginie Boone	@vboone	Contributing Editor	Cabernet Sauvignon	Far Niente	7/1/2019	Red	750 ml	14.3%	Sourced from the Martin Stelling Vineyard behind the winery, this is classic Napa and a gorgeous celebration of the variety. Blended with 3% Petit Verdot, it offers notes of red fruit, turned earth, graphite and anise, with a light toasting of oak to balance. It finishes lush and succulent in feel.
Refugio Ranch 2016 Barbareño Syrah-Petite Sirah (Santa Ynez Valley)	Barbareño	95	$50	Santa Ynez Valley, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Red Blends	Refugio Ranch	7/1/2019	Red	750 ml	15.5%	Fantastic purple-leaning aromas of acia, elderberry, boysenberry, pastry dough, lavender and white pepper make for a compelling nose on this blend of 77% Syrah and 23% Petite Sirah. Purple flowers pop on the palate too against a blackberry-laced backdrop, with strong peppery spice throughout the sip.
Alheit 2017 Huilkrans Chenin Blanc (Citrusdal Mountain)	Huilkrans	95	$100	Citrusdal Mountain, South Africa	Lauren Buzzeo	@laurbuzz	Managing Editor	Chenin Blanc	Alheit	7/1/2019	White	750 ml	14%	A light, toasty accent wafts from the glass upon first sniff of this beautiful white, transitioning into aromas of grilled apple, dried apple slices, lemon wax, fresh beeswax, lemon basil and orange blossom. The palate is stunning, with a superb texture that wraps around the just-ripe citrus, orchard fruit and bitter melon flavors. It's superbly balanced, with notes of wood spice, field flowers, lemongrass and fynbos that dance throughout the evolving and lingering finish. While it's a stunner now, it should age gracefully through 2029.
Ramey 2016 Chardonnay (Russian River Valley)	null	95	$42	Russian River Valley, Sonoma, California, US	Virginie Boone	@vboone	Contributing Editor	Chardonnay	Ramey	7/1/2019	White	750 ml	14.5%	This is a great appellation wine, overdelivering on price with an opening touch of matchstick that evolves into a stony, high-toned expression of tangerine and blood orange. Within the fruit are savory notes of nutmeg, hazelnut and ginger that linger leisurely on the lengthy finish.
Ebner-Ebenauer 2015 Alte Reben St. Laurent (Niederösterreich)	Alte Reben	94	N/A	Niederösterreich, Austria	Anne Krebiehl MW	@AnneInVino	Contributing Editor	St. Laurent, Other Red	Ebner-Ebenauer	7/1/2019	Red	750 ml	13%	Beautifully subtle but aromatic notions of wild blueberry reach the nose. The palate adds a spicy dimension of cinnamon but stays resolutely on the path of freshness and poise. This is concentrated but has channeled its undoubted ripeness into the most vivid bright pristine fruit. The fact that this is from 2015 and shines with freshness shows you that age has nothing, simply nothing, on true quality.
Joyce 2018 Gamay Noir (San Benito)	null	94	$35	San Benito, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Gamay Noir, Gamay	Joyce	7/1/2019	Red	750 ml	12.1%	There's a compellingly rocky core to the nose of this bottling, which is redolent with black raspberry, flinty smoke, crushed hibiscus, rose petals and an earthy streak. The palate is crunchy with fresh cranberry skins and other red fruits, and jam-packed with mineral tones of turned earth and pulverized stones. It goes down tremendously easy but with elegance and intrigue.
Vineyard 7&8 2016 Estate Chardonnay (Spring Mountain District)	Estate	95	$125	Spring Mountain District, Napa, California, US	Virginie Boone	@vboone	Contributing Editor	Chardonnay	Vineyard 7&8	7/1/2019	White	750 ml	14.2%	From estate-grown grapes, this is a creamy, robust and intensely flavored white made by sought-after winemaker Martha McClellan. Vanilla, peach, fig and key lime provide weight and breadth on an expansive palate of nuanced tannin and oak, buoyed by refreshing acidity, with stony mineral elements that imprint on the mind.
Dutton-Goldfield 2015 Cherry Ridge Vineyard Syrah (Russian River Valley)	Cherry Ridge Vineyard	95	$50	Russian River Valley, Sonoma, California, US	Virginie Boone	@vboone	Contributing Editor	Syrah	Dutton-Goldfield	7/1/2019	Red	750 ml	13.8%	This is an impressive wine from a site just north of the Petaluma Gap in a relatively warm spot, just temperate enough to ripen the variety. It is rich and concentrated yet fully in balance, with persistent acidity that beautifully brightens the brooding black fruit, baking spice and white pepper flavors.
Les Vignobles Gueissard 2016 Cuvée Marcel Red (Bandol)	Cuvée Marcel	94	$30	Bandol, Provence, France	Roger Voss	@vossroger	European Editor, Reviews wines from Portugal and France	Red Blends	Les Vignobles Gueissard	7/1/2019	Red	750 ml	14.5%	From selected parcels and aged in wood, this wine is dense and rich. The 80% Mourvèdre in the blend gives both spice and tannins. Behind this still-young surface, powerful black fruits are just beginning to develop. Drink the wine from 2023.
Donum 2016 Year of the Monkey West Slope Single Vineyard Pinot Noir (Carneros)	Year of the Monkey West Slope Single Vineyard	95	$120	Carneros, Napa-Sonoma, California, US	Virginie Boone	@vboone	Contributing Editor	Pinot Noir	Donum	7/1/2019	Red	750 ml	14.7%	This is an energetic red that buzzes in flavors of cranberry, pomegranate and grapefruit steeped in black tea and dried herbs. The acidity is forceful and persistent, giving the wine a sense of completion and vibrancy.
Axr 2015 Flagship Cabernet Sauvignon (Napa Valley)	Flagship	94	$250	Napa Valley, Napa, California, US	Virginie Boone	@vboone	Contributing Editor	Cabernet Sauvignon	Axr	7/1/2019	Red	750 ml	14.3%	This 100% varietal wine is exquisitely made, aged nearly two years in French oak, 80% of it new. It imparts gorgeous layers of raspberry and strawberry around an inviting nose of rose and violet. A bold pillowy middle offers clove, pencil shavings and turned earth, the tannins thick and structured.
Ebner-Ebenauer 2017 Alte Reben Grüner Veltliner (Niederösterreich)	Alte Reben	94	N/A	Niederösterreich, Austria	Anne Krebiehl MW	@AnneInVino	Contributing Editor	Grüner Veltliner	Ebner-Ebenauer	7/1/2019	White	750 ml	13%	White pepper, fern and salty air on the nose are subtle but enticing. It is on the palate that the real saltiness comes through, joined by white pepper and a creamy miso-like savoriness. Echoes of fennel seed and tangy citrus complete the subtle but utterly savory, beautifully textured picture. This is a wine of gastronomic but subtle intensity. Lovely now, but with great potential. Drink now–2035.
Kelley Fox 2016 Maresh Vineyard Star of Bethlehem Flower Block Pinot Noir (Dundee Hills)	Maresh Vineyard Star of Bethlehem Flower Block	94	$75	Dundee Hills, Willamette Valley, Oregon, US	Paul Gregutt	@paulgwine	Contributing Editor	Pinot Noir	Kelley Fox	7/1/2019	Red	750 ml	13%	Named for the white flowers that are grown among the rows in this section of the vineyard, this epitomizes the elegant, Old World-style of Oregon Pinot Noir that Kelley Fox first learned while working with David Lett at Eyrie. Layered, tart and seemingly light, it opens with watermelon and berry fruit from 25-year-old Pommard vines. Transparent and pure, it rewards your attention with subtle notes of bark and barrel, and may be tucked to enjoy through 2034.
Pali 2016 Pali Vineyard Pinot Noir (Sta. Rita Hills)	Pali Vineyard	94	$69	Sta. Rita Hills, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Pinot Noir	Pali	7/1/2019	Red	750 ml	14.8%	Concentrated aromas of black cherry, crushed stone, cola and star anise show on the nose of this bottling from the winery's estate vineyard in the heart of the Sta. Rita Hills. Dried cherry and boysenberrry flavors mix with rocky crushed-slate minerality on the palate, with strong acidity cleaning up the finish.
Hearst Ranch 2016 Proprietor's Reserve Cabernet Sauvignon (Paso Robles)	Proprietor's Reserve	94	$105	Paso Robles, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Cabernet Sauvignon	Hearst Ranch	7/1/2019	Red	750 ml	15.2%	Concentrated aromas of elderberry and blackberry are dusted with dried herbs on the nose of this bottling by the Hearst family and Jim Saunders. It's built to last on the palate, with strong blackberry, elderberry and boysenberry flavors wrapped around vanilla and herbs. The firm tannins will mellow with time. Drink 2020–2036.
Neumeister 2016 Ried Moarfeitl Sauvignon Blanc (Vulkanland Steiermark)	Ried Moarfeitl	94	$60	Vulkanland Steiermark, Austria	Anne Krebiehl MW	@AnneInVino	Contributing Editor	Sauvignon Blanc	Neumeister	7/1/2019	White	750 ml	13.5%	Cream, yeast and a touch of yogurt on the nose suggest richness. The palate follows suit but counters all the lactic flavors with lovely lemon brightness. This is a wine that lives off its rich texture and fine streamlined freshness, while peachy juiciness peeps like a promise from underneath. Keep this for best effect, let it become its full, creamy, complex self. Drink 2022–2032.
Waters 2014 Tremelo Red (Washington)	Tremelo	94	$32	Washington, Washington Other, Washington, US	Sean P. Sullivan	@wawinereport	Contributing Editor	Rhône-style Red Blend	Waters	7/1/2019	Red	750 ml	13.7%	Syrah from Old Stones Vineyard makes up three-quarters of the blend of this wine, with the balance of Grenache from Olsen Vineyard. The aromas are outrageous, with notes of fire pit, freshly peeled tangerine, potpourri, gravel, herb and peat. Pillowy-soft fruit and an olive brine note extend on the finish. The textured mouthfeel only heightens the appeal.
Ventisquero 2014 Vertice Apalta Vineyard Carmenère-Syrah (Colchagua Valley)	Vertice Apalta Vineyard	94	$30	Colchagua Valley, Chile	Michael Schachner	@wineschach	Spanish and South American Editor	Red Blends	Ventisquero	7/1/2019	Red	750 ml	14.5%	Ventisquero may make more expensive wines but none are better than this version of Vertice Carmenère-Syrah, from the winery's best slopes at Apalta in Colchagua. Foresty aromas of cool underbrush, mint, menthol and blackberry feed into a palate with steely acidity, which this full-bodied red needs. Cassis, blackberry, mocha and tobacco flavors wind down on an appealingly oaky finish. Drink through 2030.
Ovum 2017 Sinnerman Gewürztraminer (Rogue Valley)	Sinnerman	94	$45	Rogue Valley, Southern Oregon, Oregon, US	Paul Gregutt	@paulgwine	Contributing Editor	Gewürztraminer	Ovum	7/1/2019	White	500 ml	15.5%	Again sourced from the Gerber Vineyard's 40-year-old vines, this has achieved exceptional ripeness and concentration (15.5% alcohol) yet retains its ethereal perfume and sacrifices no details. It was native yeast fermented in 500-liter acacia puncheons, then aged for nine months on the lees. Baby powder, lilac and chamomile aromas set up this dry, intensely pungent wine with mixed citrus fruit flavors.
Domaine Drouhin Oregon 2016 Édition Limitée Pinot Noir (Dundee Hills)	Édition Limitée	94	$85	Dundee Hills, Willamette Valley, Oregon, US	Paul Gregutt	@paulgwine	Contributing Editor	Pinot Noir	Domaine Drouhin Oregon	7/1/2019	Red	750 ml	14.1%	Tucked into the DDO lineup between the Laurène and Louise reserves, this has an earthy character that softens the mouthfeel and opens up the midpalate. Cherry pastry, mocha and sandalwood highlights add interest and detail, and this is the 2016 to drink first while the others get a bit more bottle age.
Cartago 2014 Paraje del Pozo (Toro)	Paraje del Pozo	94	$170	Toro, Northern Spain, Spain	Michael Schachner	@wineschach	Spanish and South American Editor	Tinta de Toro, Tempranillo	Cartago	7/1/2019	Red	750 ml	14.5%	Initially, this big-time Tempranillo from Bodegas San Román smells lactic and chocolaty, with a hint of marshmallow to go with black cherry and blackberry fruit. On the palate, this is rugged and tough, something you can embrace but can't avoid. Black cherry, cassis and dark plum flavors finish with cocoa notes, and the more air this sees the better it will perform. Drink through 2030.
Ebner-Ebenauer 2017 Hermanschachern Grüner Veltliner (Niederösterreich)	Hermanschachern	94	N/A	Niederösterreich, Austria	Anne Krebiehl MW	@AnneInVino	Contributing Editor	Grüner Veltliner	Ebner-Ebenauer	7/1/2019	White	750 ml	13%	A very subtle nose gives little away. It is on the palate that the fizzing, peppery, salty and savory nature breaks through. This is vivid and slender, energetic and bright. Lime zest and white pepper make for a tingling, moreish and lip-smacking finale.
Beekeeper Cellars 2016 Montecillo Vineyard Zinfandel (Sonoma County)	Montecillo Vineyard	94	$65	Sonoma County, Sonoma, California, US	Virginie Boone	@vboone	Contributing Editor	Zinfandel	Beekeeper Cellars	7/1/2019	Red	750 ml	14.5%	Blended with 5% Petite Sirah and then aged 15 months in all French oak, this is a beautifully made and fun wine to drink, earthy in forest mushroom and grilled meat. The vineyard sits at 1,500 feet in elevation and contributes sizable tannin weight, a worthy companion to the ripe richness of the blueberry cobbler and black pepper at its core.
Domaine Drouhin Oregon 2017 Édition Limitée Chardonnay (Dundee Hills)	Édition Limitée	94	$65	Dundee Hills, Willamette Valley, Oregon, US	Paul Gregutt	@paulgwine	Contributing Editor	Chardonnay	Domaine Drouhin Oregon	7/1/2019	White	750 ml	13.9%	The winery's reserve-level cuvée is sourced from the estate vineyard, same as the Arthur, but here the presence of new oak is more forceful, the fruit a bit richer, and the impact of phenolic overtones more noticeable. It's a young, pungent wine that should benefit from additional bottle age. Drink 2021–2028.
21 Grams 2014 Red (Columbia Valley (WA))	null	94	$125	Columbia Valley (WA), Columbia Valley, Washington, US	Sean P. Sullivan	@wawinereport	Contributing Editor	Bordeaux-style Red Blend	21 Grams	7/1/2019	Red	750 ml	14.5%	Cabernet Sauvignon from esteemed Cold Creek Vineyard makes up the backbone of this wine. Intoxicating aromas of assorted dried herbs, graphite, spice, tea leaf, coffee and black cherry are followed by tightly wound dark fruit flavors. The rich flavors show sophistication, layering and depth, with enough acid and tannin structure for 20-plus years of enjoyment. An extended finish only heightens the impression. It's a stunner that overwhelms on expressiveness rather than sheer strength. Best after 2025.
